Date,Species,Length (um),No. segments,Abbreviation
16/05/2022,NEG_CNTRL_1day,353.506,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,341.015,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,305.506,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,320.047,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,310.022,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,266.567,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,312.88,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,316.443,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,331.737,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,340.751,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,294.925,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,323.395,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,314.109,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,331.352,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,319.426,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,313.668,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,319.803,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,328.507,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,330.97,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,329.001,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,346.545,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,325.973,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,324.101,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,335.896,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,278.061,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,326.229,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,304.972,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,312.284,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,319.579,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,335.771,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,349.312,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,339.955,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,300.992,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,328.287,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,314.511,3,nbc_1d
16/05/2022,NEG_CNTRL_1day,364.235,3,nbc_1d
16/05/2022,NEG_CNTRL_5weeks,293.125,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,307.432,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,315.732,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,319.144,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,334.46,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,307.489,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,346.892,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,312.669,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,324.775,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,316.646,3,nbc_5w
