Date,Abbreviation,Species,#_coverslip,#_crawl,#_swim,#_dead,Time after induction (h),Age (dpf)
16/05/2022,nbc_1d,NEG_CNTRL_1day,1,2,23,4,24,4
16/05/2022,nbc_1d,NEG_CNTRL_1day,1,1,23,5,24,4
16/05/2022,nbc_1d,NEG_CNTRL_1day,2,6,19,3,24,4
16/05/2022,nbc_1d,NEG_CNTRL_1day,1,3,24,2,24,4
16/05/2022,nbc_1d,NEG_CNTRL_1day,0,2,27,1,24,4
16/05/2022,nbc_1d,NEG_CNTRL_1day,3,5,20,2,24,4
16/05/2022,nbc_5w,NEG_CNTRL_5weeks,0,3,24,3,24,4
16/05/2022,nbc_5w,NEG_CNTRL_5weeks,8,7,11,4,24,4
16/05/2022,nbc_5w,NEG_CNTRL_5weeks,4,1,23,2,24,4
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,8,1,18,3,24,4
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,3,2,22,3,24,4
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,2,4,21,3,24,4
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,7,1,19,3,24,4
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,10,2,16,2,24,4
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,8,3,17,2,24,4
16/05/2022,G.mar_1d,Grammatophora_marina_1day,8,1,19,2,24,4
16/05/2022,G.mar_1d,Grammatophora_marina_1day,8,4,15,3,24,4
16/05/2022,G.mar_1d,Grammatophora_marina_1day,1,1,22,6,24,4
16/05/2022,G.mar_1d,Grammatophora_marina_1day,5,3,18,4,24,4
16/05/2022,G.mar_1d,Grammatophora_marina_1day,13,2,12,3,24,4
16/05/2022,G.mar_1d,Grammatophora_marina_1day,12,1,16,1,24,4
16/05/2022,G.mar_1w,Grammatophora_marina_1week,8,1,18,3,24,4
16/05/2022,G.mar_1w,Grammatophora_marina_1week,7,3,18,2,24,4
16/05/2022,G.mar_1w,Grammatophora_marina_1week,8,4,13,5,24,4
16/05/2022,G.mar_2w,Grammatophora_marina_2weeks,10,4,13,3,24,4
16/05/2022,G.mar_2w,Grammatophora_marina_2weeks,13,3,14,0,24,4
16/05/2022,G.mar_2w,Grammatophora_marina_2weeks,16,4,9,1,24,4
16/05/2022,G.mar_5w,Grammatophora_marina_5weeks,14,4,10,2,24,4
16/05/2022,G.mar_5w,Grammatophora_marina_5weeks,8,4,15,4,24,4
16/05/2022,G.mar_5w,Grammatophora_marina_5weeks,11,1,14,4,24,4
16/05/2022,Mix_3sp.,3_species_mix,8,2,17,3,24,4
16/05/2022,Mix_3sp.,3_species_mix,1,2,24,3,24,4
16/05/2022,Mix_3sp.,3_species_mix,5,4,18,3,24,4
16/05/2022,Mix_3sp.,3_species_mix,6,2,18,4,24,4
16/05/2022,Mix_3sp.,3_species_mix,8,4,13,5,24,4
16/05/2022,Mix_3sp.,3_species_mix,5,4,17,4,24,4
16/05/2022,Mix_6spS,6_species_mix_settle,6,3,18,3,24,4
16/05/2022,Mix_6spS,6_species_mix_settle,5,8,11,6,24,4
16/05/2022,Mix_6spS,6_species_mix_settle,13,6,9,2,24,4
16/05/2022,Mix_6spS,6_species_mix_settle,9,4,14,3,24,4
16/05/2022,Mix_6spS,6_species_mix_settle,10,4,14,2,24,4
16/05/2022,Mix_6spS,6_species_mix_settle,12,5,8,5,24,4
16/05/2022,Mix_6spG,6_species_mix_settle_grow,7,2,15,6,24,4
16/05/2022,Mix_6spG,6_species_mix_settle_grow,6,5,16,3,24,4
16/05/2022,Mix_6spG,6_species_mix_settle_grow,12,3,10,5,24,4
16/05/2022,Mix_6spG,6_species_mix_settle_grow,13,5,8,4,24,4
16/05/2022,Mix_6spG,6_species_mix_settle_grow,10,3,14,3,24,4
16/05/2022,Mix_6spG,6_species_mix_settle_grow,6,4,15,5,24,4
16/05/2022,Mix_10sp.,10_species_mix,7,5,13,5,24,4
16/05/2022,Mix_10sp.,10_species_mix,6,4,16,4,24,4
16/05/2022,Mix_10sp.,10_species_mix,10,4,13,3,24,4
16/05/2022,Mix_10sp.,10_species_mix,11,7,7,5,24,4
16/05/2022,Mix_10sp.,10_species_mix,10,8,9,3,24,4
16/05/2022,Mix_10sp.,10_species_mix,8,5,11,6,24,4
16/05/2022,nbc_1d,NEG_CNTRL_1day,1,3,20,6,48,5
16/05/2022,nbc_1d,NEG_CNTRL_1day,1,6,16,7,48,5
16/05/2022,nbc_1d,NEG_CNTRL_1day,1,11,17,1,48,5
16/05/2022,nbc_1d,NEG_CNTRL_1day,2,2,22,4,48,5
16/05/2022,nbc_1d,NEG_CNTRL_1day,2,1,23,4,48,5
16/05/2022,nbc_1d,NEG_CNTRL_1day,2,4,21,3,48,5
16/05/2022,nbc_5w,NEG_CNTRL_5weeks,2,5,19,4,48,5
16/05/2022,nbc_5w,NEG_CNTRL_5weeks,2,13,10,5,48,5
16/05/2022,nbc_5w,NEG_CNTRL_5weeks,5,7,18,0,48,5
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,14,2,8,6,48,5
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,12,9,3,6,48,5
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,11,3,8,8,48,5
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,16,6,3,5,48,5
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,20,4,6,0,48,5
16/05/2022,A.bre_1d,Achnanthes_brevipes_1day,13,0,10,7,48,5
16/05/2022,G.mar_1d,Grammatophora_marina_1day,10,6,7,7,48,5
16/05/2022,G.mar_1d,Grammatophora_marina_1day,10,9,8,3,48,5
16/05/2022,G.mar_1d,Grammatophora_marina_1day,9,7,8,6,48,5
16/05/2022,G.mar_1d,Grammatophora_marina_1day,5,7,12,6,48,5
16/05/2022,G.mar_1d,Grammatophora_marina_1day,15,4,10,1,48,5
16/05/2022,G.mar_1d,Grammatophora_marina_1day,13,1,12,4,48,5
