Date,Species,diatom_%area,Abbreviation,Group
16/05/2022,NEG_CNTRL_1day,0.032,nbc_1d,nbc
16/05/2022,NEG_CNTRL_1day,0.051,nbc_1d,nbc
16/05/2022,NEG_CNTRL_1day,0.027,nbc_1d,nbc
16/05/2022,NEG_CNTRL_5weeks,0.029,nbc_5w,nbc
16/05/2022,NEG_CNTRL_5weeks,0.074,nbc_5w,nbc
16/05/2022,NEG_CNTRL_5weeks,0.026,nbc_5w,nbc
16/05/2022,Achnanthes_brevipes_1day,22.543,A.bre_1d,A.bre
16/05/2022,Achnanthes_brevipes_1day,32.652,A.bre_1d,A.bre
16/05/2022,Achnanthes_brevipes_1day,35.806,A.bre_1d,A.bre
16/05/2022,Grammatophora_marina_1day,3.368,G.mar_1d,G.mar
16/05/2022,Grammatophora_marina_1day,5.593,G.mar_1d,G.mar
16/05/2022,Grammatophora_marina_1day,6.23,G.mar_1d,G.mar
16/05/2022,Grammatophora_marina_1week,1.737,G.mar_1w,G.mar
16/05/2022,Grammatophora_marina_1week,2.708,G.mar_1w,G.mar
16/05/2022,Grammatophora_marina_1week,14.35,G.mar_1w,G.mar
16/05/2022,Grammatophora_marina_2weeks,7.922,G.mar_2w,G.mar
16/05/2022,Grammatophora_marina_2weeks,14.207,G.mar_2w,G.mar
16/05/2022,Grammatophora_marina_2weeks,4.777,G.mar_2w,G.mar
16/05/2022,Grammatophora_marina_5weeks,34.076,G.mar_5w,G.mar
16/05/2022,Grammatophora_marina_5weeks,2.88,G.mar_5w,G.mar
16/05/2022,Grammatophora_marina_5weeks,29.835,G.mar_5w,G.mar
16/05/2022,3_species_mix,28.75,Mix_3sp.,mix
16/05/2022,3_species_mix,18.87,Mix_3sp.,mix
16/05/2022,3_species_mix,28.195,Mix_3sp.,mix
16/05/2022,6_species_mix_settle,28.595,Mix_6spS,mix
16/05/2022,6_species_mix_settle,25.905,Mix_6spS,mix
16/05/2022,6_species_mix_settle,28.752,Mix_6spS,mix
16/05/2022,6_species_mix_settle_grow,31.733,Mix.6spG,mix
16/05/2022,6_species_mix_settle_grow,34.555,Mix.6spG,mix
16/05/2022,6_species_mix_settle_grow,20.855,Mix.6spG,mix
16/05/2022,10_species_mix,19.009,Mix_10sp.,mix
16/05/2022,10_species_mix,30.195,Mix_10sp.,mix
16/05/2022,10_species_mix,29.594,Mix_10sp.,mix
16/05/2022,10_species_mix,34.292,Mix_10sp.,mix
