Date,Species,Treatment,Abbreviation,diatom_%area,Light filter
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,4.797,white
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,7.106,white
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,9.897,white
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,3.738,white
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,2.897,white
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,1.716,white
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,0.012,white
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,0.01,white
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,0.01,white
13/12/2022,Control_slip,na,nbc,0.003,white
13/12/2022,Control_slip,na,nbc,0.009,white
13/12/2022,Control_slip,na,nbc,0.014,white
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,7.17,white
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,3.82,white
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,6.233,white
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,1.69,white
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,1.203,white
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,1.509,white
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,3.969,white
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,2.732,white
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,3.472,white
13/12/2022,Grammatophora_marina_1027/1,antibiotics-pre-post,G.mar_ab2,5.597,white
13/12/2022,Grammatophora_marina_1027/1,antibiotics-pre-post,G.mar_ab2,3.758,white
13/12/2022,Grammatophora_marina_1027/1,antibiotics-pre-post,G.mar_ab2,4.296,white
13/12/2022,Grammatophora_marina_1027/1,EtOH,G.mar_EtOH,0.68,white
13/12/2022,Grammatophora_marina_1027/1,EtOH,G.mar_EtOH,1.401,white
13/12/2022,Grammatophora_marina_1027/1,EtOH,G.mar_EtOH,2.932,white
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,3.44,fluorY
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,4.519,fluorY
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,5.91,fluorY
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,0.508,fluorY
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,2.264,fluorY
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,1.245,fluorY
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,0.038,fluorY
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,0.012,fluorY
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,0.008,fluorY
13/12/2022,Control_slip,na,nbc,0.178,fluorY
13/12/2022,Control_slip,na,nbc,0.16,fluorY
13/12/2022,Control_slip,na,nbc,0.06,fluorY
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,4.777,fluorY
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,4.311,fluorY
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,4.113,fluorY
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,0.475,fluorY
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,0.242,fluorY
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,0.226,fluorY
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,2.367,fluorY
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,1.909,fluorY
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,2.477,fluorY
13/12/2022,Grammatophora_marina_1027/1,antibiotics-pre-post,G.mar_ab2,2.585,fluorY
13/12/2022,Grammatophora_marina_1027/1,antibiotics-pre-post,G.mar_ab2,2.183,fluorY
13/12/2022,Grammatophora_marina_1027/1,antibiotics-pre-post,G.mar_ab2,2.092,fluorY
13/12/2022,Grammatophora_marina_1027/1,EtOH,G.mar_EtOH,0.046,fluorY
13/12/2022,Grammatophora_marina_1027/1,EtOH,G.mar_EtOH,0.025,fluorY
13/12/2022,Grammatophora_marina_1027/1,EtOH,G.mar_EtOH,0.053,fluorY
