Date,Species,Treatment,Abbreviation,#_coverslip,#_crawl,#_swim,#_dead,Time after induction (h),Age (dpf)
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,9,2,13,6,24,4
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,8,1,16,5,24,4
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,12,6,8,4,24,4
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,7,2,18,3,24,4
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,14,3,10,3,24,4
13/12/2022,Grammatophora_marina_1027/1,na,G.mar,10,4,13,3,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,5,3,20,2,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,9,3,17,5,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,10,3,13,4,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,3,2,23,2,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,4,6,17,3,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-wet,G.mar_50C,10,5,12,3,24,4
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,0,4,25,1,24,4
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,1,4,23,2,24,4
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,2,2,23,3,24,4
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,0,2,27,1,24,4
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,6,3,20,1,24,4
13/12/2022,Grammatophora_marina_1027/1_filtrate,na,G.mar_fil,5,6,13,6,24,4
13/12/2022,Control_slip,na,nbc,0,2,22,6,24,4
13/12/2022,Control_slip,na,nbc,2,4,19,5,24,4
13/12/2022,Control_slip,na,nbc,1,3,20,6,24,4
13/12/2022,Control_slip,na,nbc,1,10,13,6,24,4
13/12/2022,Control_slip,na,nbc,4,2,21,3,24,4
13/12/2022,Control_slip,na,nbc,3,8,17,2,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,10,6,12,2,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,18,8,2,2,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,15,0,15,0,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,15,2,13,0,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,6,3,21,0,24,4
13/12/2022,Grammatophora_marina_1027/1,50C-dry,G.mar_dry,3,6,18,3,24,4
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,1,2,27,0,24,4
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,9,2,16,3,24,4
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,5,6,16,3,24,4
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,4,4,22,0,24,4
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,7,7,15,1,24,4
13/12/2022,Grammatophora_marina_1027/1,boil,G.mar_boil,8,10,11,1,24,4
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,13,2,12,3,24,4
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,20,1,7,2,24,4
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,15,2,12,1,24,4
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,7,5,15,3,24,4
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,12,6,12,0,24,4
13/12/2022,Grammatophora_marina_1027/1,antibiotics-post,G.mar_ab1,18,1,9,2,24,4
13/12/2022,Grammatophora_marina_1027/1,antibiotics-pre-post,G.mar_ab2,16,3,10,1,24,4
13/12/2022,Grammatophora_marina_1027/1,antibiotics-pre-post,G.mar_ab2,12,3,14,1,24,4
