Date,Age at induction,#_coverslip,#_crawl,#_swim,#_dead,Time after induction [h],Abbreviation,%_settlement_total,%_settlement_alive
12/07/2022,8dpf,19,6,5,0,4,8,63.33333333,63.33333333
12/07/2022,8dpf,24,4,2,0,4,8,80,80
12/07/2022,8dpf,28,2,0,0,4,8,93.33333333,93.33333333
12/07/2022,8dpf,26,0,4,0,4,8,86.66666667,86.66666667
12/07/2022,8dpf,24,4,2,0,4,8,80,80
12/07/2022,8dpf,28,1,1,0,4,8,93.33333333,93.33333333
12/07/2022,8dpf_control_slip,0,15,15,0,4,8_nbc,0,0
12/07/2022,8dpf_control_slip,2,10,18,0,4,8_nbc,6.666666667,6.666666667
12/07/2022,8dpf_control_slip,3,6,21,0,4,8_nbc,10,10
12/07/2022,8dpf_control_slip,1,10,19,0,4,8_nbc,3.333333333,3.333333333
12/07/2022,8dpf_control_slip,3,10,17,0,4,8_nbc,10,10
12/07/2022,8dpf_control_slip,11,11,15,0,4,8_nbc,29.72972973,29.72972973
12/07/2022,7dpf,22,3,5,0,4,7,73.33333333,73.33333333
12/07/2022,7dpf,24,3,3,0,4,7,80,80
12/07/2022,7dpf,37,5,4,0,4,7,80.43478261,80.43478261
12/07/2022,7dpf,25,4,1,0,4,7,83.33333333,83.33333333
12/07/2022,7dpf,24,2,4,0,4,7,80,80
12/07/2022,7dpf,27,1,2,0,4,7,90,90
12/07/2022,6dpf,28,1,1,0,4,6,93.33333333,93.33333333
12/07/2022,6dpf,31,3,3,0,4,6,83.78378378,83.78378378
12/07/2022,6dpf,16,0,14,0,4,6,53.33333333,53.33333333
12/07/2022,6dpf,27,0,3,0,4,6,90,90
12/07/2022,6dpf,24,5,1,0,4,6,80,80
12/07/2022,6dpf,18,7,5,0,4,6,60,60
12/07/2022,5dpf,11,3,16,0,4,5,36.66666667,36.66666667
12/07/2022,5dpf,18,5,7,0,4,5,60,60
12/07/2022,5dpf,21,1,8,0,4,5,70,70
12/07/2022,5dpf,22,1,7,0,4,5,73.33333333,73.33333333
12/07/2022,5dpf,11,6,13,0,4,5,36.66666667,36.66666667
12/07/2022,5dpf,6,4,20,0,4,5,20,20
12/07/2022,4dpf,10,5,15,0,4,4,33.33333333,33.33333333
12/07/2022,4dpf,6,4,20,0,4,4,20,20
12/07/2022,4dpf,30,0,2,0,4,4,93.75,93.75
12/07/2022,4dpf,4,10,16,0,4,4,13.33333333,13.33333333
12/07/2022,4dpf,8,6,16,0,4,4,26.66666667,26.66666667
12/07/2022,4dpf,15,7,8,0,4,4,50,50
12/07/2022,3.5dpf,2,3,25,0,4,3.5,6.666666667,6.666666667
12/07/2022,3.5dpf,2,7,21,0,4,3.5,6.666666667,6.666666667
12/07/2022,3.5dpf,3,3,24,0,4,3.5,10,10
12/07/2022,3.5dpf,9,2,19,0,4,3.5,30,30
12/07/2022,3.5dpf,5,6,19,0,4,3.5,16.66666667,16.66666667
12/07/2022,3.5dpf,2,3,15,0,4,3.5,10,10
12/07/2022,3dpf,6,2,22,0,4,3,20,20
12/07/2022,3dpf,23,1,6,0,4,3,76.66666667,76.66666667
12/07/2022,3dpf,6,2,22,0,4,3,20,20
12/07/2022,3dpf,2,0,28,0,4,3,6.666666667,6.666666667
12/07/2022,3dpf,1,2,27,0,4,3,3.333333333,3.333333333
12/07/2022,3dpf,16,0,14,0,4,3,53.33333333,53.33333333
12/07/2022,2dpf,6,1,23,0,4,2,20,20
12/07/2022,2dpf,0,0,30,0,4,2,0,0
12/07/2022,2dpf,11,2,17,0,4,2,36.66666667,36.66666667
12/07/2022,2dpf,2,2,26,0,4,2,6.666666667,6.666666667
12/07/2022,2dpf,7,3,20,0,4,2,23.33333333,23.33333333
12/07/2022,2dpf,2,4,26,0,4,2,6.25,6.25
12/07/2022,8dpf,30,0,0,0,24,8,100,100
12/07/2022,8dpf,30,0,0,0,24,8,100,100
12/07/2022,8dpf,27,2,1,0,24,8,90,90
12/07/2022,8dpf,27,1,2,0,24,8,90,90
12/07/2022,8dpf,28,1,1,0,24,8,93.33333333,93.33333333
12/07/2022,8dpf,29,0,1,0,24,8,96.66666667,96.66666667
12/07/2022,8dpf_control_slip,0,11,19,0,24,8_nbc,0,0
12/07/2022,8dpf_control_slip,2,17,11,0,24,8_nbc,6.666666667,6.666666667
12/07/2022,8dpf_control_slip,3,14,13,0,24,8_nbc,10,10
12/07/2022,8dpf_control_slip,1,14,15,0,24,8_nbc,3.333333333,3.333333333
12/07/2022,8dpf_control_slip,1,19,10,0,24,8_nbc,3.333333333,3.333333333
12/07/2022,8dpf_control_slip,3,12,15,0,24,8_nbc,10,10
12/07/2022,7dpf,26,2,1,1,24,7,86.66666667,89.65517241
12/07/2022,7dpf,27,2,1,0,24,7,90,90
12/07/2022,7dpf,36,3,1,0,24,7,90,90
12/07/2022,7dpf,24,4,2,0,24,7,80,80
12/07/2022,7dpf,25,4,0,1,24,7,83.33333333,86.20689655
12/07/2022,7dpf,28,2,0,0,24,7,93.33333333,93.33333333
12/07/2022,6dpf,28,1,1,0,24,6,93.33333333,93.33333333
12/07/2022,6dpf,39,1,0,0,24,6,97.5,97.5
12/07/2022,6dpf,30,1,1,0,24,6,93.75,93.75
12/07/2022,6dpf,29,1,0,0,24,6,96.66666667,96.66666667
12/07/2022,6dpf,30,2,0,0,24,6,93.75,93.75
12/07/2022,6dpf,28,0,2,0,24,6,93.33333333,93.33333333
12/07/2022,5dpf,22,1,7,0,24,5,73.33333333,73.33333333
12/07/2022,5dpf,25,2,3,0,24,5,83.33333333,83.33333333
12/07/2022,5dpf,29,1,3,0,24,5,87.87878788,87.87878788
12/07/2022,5dpf,23,6,1,0,24,5,76.66666667,76.66666667
12/07/2022,5dpf,16,10,4,0,24,5,53.33333333,53.33333333
12/07/2022,5dpf,14,10,6,0,24,5,46.66666667,46.66666667
12/07/2022,4dpf,12,6,12,0,24,4,40,40
12/07/2022,4dpf,9,10,11,0,24,4,30,30
12/07/2022,4dpf,25,0,5,0,24,4,83.33333333,83.33333333
12/07/2022,4dpf,9,11,10,0,24,4,30,30
12/07/2022,4dpf,11,9,10,0,24,4,36.66666667,36.66666667
12/07/2022,4dpf,19,2,9,0,24,4,63.33333333,63.33333333
12/07/2022,3.5dpf,4,2,24,0,24,3.5,13.33333333,13.33333333
12/07/2022,3.5dpf,7,4,17,0,24,3.5,25,25
12/07/2022,3.5dpf,6,4,20,0,24,3.5,20,20
12/07/2022,3.5dpf,7,5,16,2,24,3.5,23.33333333,25
12/07/2022,3.5dpf,13,0,17,0,24,3.5,43.33333333,43.33333333
12/07/2022,3.5dpf,7,3,18,2,24,3.5,23.33333333,25
12/07/2022,3dpf,13,2,15,0,24,3,43.33333333,43.33333333
12/07/2022,3dpf,23,3,4,0,24,3,76.66666667,76.66666667
12/07/2022,3dpf,6,0,21,3,24,3,20,22.22222222
12/07/2022,3dpf,11,7,12,0,24,3,36.66666667,36.66666667
12/07/2022,3dpf,13,2,15,0,24,3,43.33333333,43.33333333
12/07/2022,3dpf,11,2,17,0,24,3,36.66666667,36.66666667
12/07/2022,2dpf,3,1,24,0,24,2,10.71428571,10.71428571
12/07/2022,2dpf,3,0,27,0,24,2,10,10
12/07/2022,2dpf,2,0,26,2,24,2,6.666666667,7.142857143
12/07/2022,2dpf,4,0,26,0,24,2,13.33333333,13.33333333
12/07/2022,2dpf,1,1,28,0,24,2,3.333333333,3.333333333
12/07/2022,2dpf,1,1,28,0,24,2,3.333333333,3.333333333
12/07/2022,8dpf,29,3,0,0,48,8,90.625,90.625
12/07/2022,8dpf,28,0,1,1,48,8,93.33333333,96.55172414
12/07/2022,8dpf,29,1,0,0,48,8,96.66666667,96.66666667
12/07/2022,8dpf,27,2,1,0,48,8,90,90
12/07/2022,8dpf,25,4,1,0,48,8,83.33333333,83.33333333
12/07/2022,8dpf,24,3,2,1,48,8,80,82.75862069
12/07/2022,8dpf_control_slip,1,9,20,0,48,8_nbc,3.333333333,3.333333333
12/07/2022,8dpf_control_slip,2,14,14,0,48,8_nbc,6.666666667,6.666666667
12/07/2022,8dpf_control_slip,3,10,17,0,48,8_nbc,10,10
12/07/2022,8dpf_control_slip,3,6,21,0,48,8_nbc,10,10
12/07/2022,8dpf_control_slip,2,12,16,0,48,8_nbc,6.666666667,6.666666667
12/07/2022,8dpf_control_slip,7,10,13,0,48,8_nbc,23.33333333,23.33333333
12/07/2022,7dpf,29,2,0,0,48,7,93.5483871,93.5483871
12/07/2022,7dpf,26,2,2,0,48,7,86.66666667,86.66666667
12/07/2022,7dpf,25,9,2,0,48,7,69.44444444,69.44444444
12/07/2022,7dpf,19,8,2,1,48,7,63.33333333,65.51724138
12/07/2022,7dpf,22,4,3,1,48,7,73.33333333,75.86206897
12/07/2022,7dpf,21,5,4,0,48,7,70,70
12/07/2022,6dpf,26,4,2,0,48,6,81.25,81.25
12/07/2022,6dpf,23,13,1,0,48,6,62.16216216,62.16216216
12/07/2022,6dpf,31,2,0,0,48,6,93.93939394,93.93939394
12/07/2022,6dpf,16,9,1,4,48,6,53.33333333,61.53846154
12/07/2022,6dpf,22,8,0,0,48,6,73.33333333,73.33333333
12/07/2022,6dpf,24,5,1,0,48,6,80,80
12/07/2022,5dpf,24,4,2,0,48,5,80,80
12/07/2022,5dpf,30,0,0,0,48,5,100,100
12/07/2022,5dpf,31,2,1,0,48,5,91.17647059,91.17647059
12/07/2022,5dpf,25,3,2,0,48,5,83.33333333,83.33333333
