Date,Species,Length (micron),No. segments,Abbreviation
16/03/2021,Control_slip,338.727,3,nbc
16/03/2021,Control_slip,355.277,3,nbc
16/03/2021,Control_slip,358.06,3,nbc
16/03/2021,Control_slip,354.285,3,nbc
16/03/2021,Control_slip,368.131,3,nbc
16/03/2021,Control_slip,333.78,3,nbc
16/03/2021,Control_slip,310.423,3,nbc
16/03/2021,Control_slip,321.051,3,nbc
16/03/2021,Control_slip,381.773,3,nbc
16/03/2021,Control_slip,379.471,3,nbc
16/03/2021,Control_slip,334.313,3,nbc
16/03/2021,Control_slip,341.449,3,nbc
16/03/2021,Control_slip,333.513,3,nbc
16/03/2021,Control_slip,288.985,3,nbc
16/03/2021,Control_slip,341.068,3,nbc
16/03/2021,Control_slip,326.151,3,nbc
16/03/2021,Control_slip,353.66,3,nbc
16/03/2021,Control_slip,352.011,3,nbc
16/03/2021,Achnanthes_sp,609.703,4,Ach.sp
16/03/2021,Achnanthes_sp,598.123,4,Ach.sp
16/03/2021,Achnanthes_sp,729.29,5,Ach.sp
16/03/2021,Achnanthes_sp,523.259,4,Ach.sp
16/03/2021,Achnanthes_sp,519.583,4,Ach.sp
16/03/2021,Achnanthes_sp,700.796,4,Ach.sp
16/03/2021,Achnanthes_sp,369.714,3,Ach.sp
16/03/2021,Achnanthes_sp,587.943,4,Ach.sp
16/03/2021,Achnanthes_sp,593.932,4,Ach.sp
16/03/2021,Achnanthes_sp,441.123,3,Ach.sp
16/03/2021,Achnanthes_sp,647.83,4,Ach.sp
16/03/2021,Achnanthes_sp,527.899,4,Ach.sp
16/03/2021,Achnanthes_sp,541.674,4,Ach.sp
16/03/2021,Achnanthes_sp,514.633,4,Ach.sp
16/03/2021,Achnanthes_sp,564.153,4,Ach.sp
16/03/2021,Achnanthes_sp,594.728,4,Ach.sp
16/03/2021,Achnanthes_sp,505.764,4,Ach.sp
16/03/2021,Achnanthes_sp,455.604,4,Ach.sp
16/03/2021,Amphora_coffeaeformis,530.334,4,A.cof
16/03/2021,Amphora_coffeaeformis,408.251,3,A.cof
16/03/2021,Amphora_coffeaeformis,639.813,4,A.cof
