Individual,Diet,Abbreviation,#_segments,growth rate
1,single_microalga,G.micro,16,0.533333333
2,single_microalga,G.micro,19,0.633333333
3,single_microalga,G.micro,12,0.4
4,single_microalga,G.micro,14,0.466666667
5,single_microalga,G.micro,13,0.433333333
6,single_microalga,G.micro,15,0.5
7,single_microalga,G.micro,19,0.633333333
8,single_microalga,G.micro,14,0.466666667
9,single_microalga,G.micro,11,0.366666667
10,single_microalga,G.micro,23,0.766666667
11,single_microalga,G.micro,20,0.666666667
12,single_microalga,G.micro,14,0.466666667
13,single_microalga,G.micro,16,0.533333333
14,single_microalga,G.micro,17,0.566666667
15,single_microalga,G.micro,17,0.566666667
16,single_microalga,G.micro,22,0.733333333
17,single_microalga,G.micro,21,0.7
18,single_microalga,G.micro,21,0.7
19,single_microalga,G.micro,11,0.366666667
20,single_microalga,G.micro,21,0.7
21,single_microalga,G.micro,15,0.5
22,single_microalga,G.micro,13,0.433333333
23,single_microalga,G.micro,20,0.666666667
24,single_microalga,G.micro,14,0.466666667
25,single_microalga,G.micro,20,0.666666667
26,single_microalga,G.micro,12,0.4
27,single_microalga,G.micro,17,0.566666667
28,single_microalga,G.micro,11,0.366666667
29,single_microalga,G.micro,10,0.333333333
30,single_microalga,G.micro,14,0.466666667
31,single_microalga,G.micro,14,0.466666667
32,single_microalga,G.micro,11,0.366666667
33,single_microalga,G.micro,14,0.466666667
34,single_microalga,G.micro,11,0.366666667
35,single_microalga,G.micro,20,0.666666667
36,single_microalga,G.micro,11,0.366666667
37,single_microalga,G.micro,22,0.733333333
38,single_microalga,G.micro,14,0.466666667
39,single_microalga,G.micro,11,0.366666667
40,single_microalga,G.micro,9,0.3
41,single_microalga,G.micro,18,0.6
42,single_microalga,G.micro,12,0.4
43,single_microalga,G.micro,13,0.433333333
44,single_microalga,G.micro,20,0.666666667
45,single_microalga,G.micro,13,0.433333333
46,single_microalga,G.micro,17,0.566666667
47,single_microalga,G.micro,18,0.6
48,single_microalga,G.micro,23,0.766666667
49,single_microalga,G.micro,15,0.5
50,single_microalga,G.micro,16,0.533333333
51,single_microalga,G.micro,15,0.5
52,single_microalga,G.micro,15,0.5
53,single_microalga,G.micro,14,0.466666667
54,single_microalga,G.micro,16,0.533333333
55,single_microalga,G.micro,22,0.733333333
56,single_microalga,G.micro,27,0.9
57,single_microalga,G.micro,15,0.5
58,single_microalga,G.micro,12,0.4
59,single_microalga,G.micro,18,0.6
60,single_microalga,G.micro,11,0.366666667
61,single_microalga,G.micro,27,0.9
62,single_microalga,G.micro,13,0.433333333
63,single_microalga,G.micro,15,0.5
64,single_microalga,G.micro,15,0.5
65,single_microalga,G.micro,17,0.566666667
66,single_microalga,G.micro,12,0.4
67,single_microalga,G.micro,11,0.366666667
68,single_microalga,G.micro,14,0.466666667
69,single_microalga,G.micro,11,0.366666667
70,single_microalga,G.micro,10,0.333333333
71,single_microalga,G.micro,13,0.433333333
72,single_microalga,G.micro,23,0.766666667
73,single_microalga,G.micro,15,0.5
74,single_microalga,G.micro,13,0.433333333
75,single_microalga,G.micro,14,0.466666667
76,single_microalga,G.micro,11,0.366666667
77,single_microalga,G.micro,13,0.433333333
78,single_microalga,G.micro,18,0.6
79,single_microalga,G.micro,11,0.366666667
80,single_microalga,G.micro,15,0.5
81,single_microalga,G.micro,13,0.433333333
82,single_microalga,G.micro,10,0.333333333
83,single_microalga,G.micro,13,0.433333333
84,single_microalga,G.micro,22,0.733333333
85,single_microalga,G.micro,18,0.6
86,single_microalga,G.micro,15,0.5
87,single_microalga,G.micro,15,0.5
88,single_microalga,G.micro,13,0.433333333
89,single_microalga,G.micro,16,0.533333333
90,single_microalga,G.micro,13,0.433333333
91,single_microalga,G.micro,16,0.533333333
92,single_microalga,G.micro,27,0.9
93,single_microalga,G.micro,18,0.6
94,single_microalga,G.micro,11,0.366666667
95,single_microalga,G.micro,16,0.533333333
96,single_microalga,G.micro,15,0.5
97,single_microalga,G.micro,14,0.466666667
98,single_microalga,G.micro,18,0.6
99,single_microalga,G.micro,15,0.5
100,single_microalga,G.micro,14,0.466666667
101,single_microalga,G.micro,13,0.433333333
102,single_microalga,G.micro,16,0.533333333
103,single_microalga,G.micro,11,0.366666667
104,single_microalga,G.micro,12,0.4
105,single_microalga,G.micro,14,0.466666667
106,single_microalga,G.micro,14,0.466666667
107,single_microalga,G.micro,14,0.466666667
108,single_microalga,G.micro,25,0.833333333
109,single_microalga,G.micro,15,0.5
110,single_microalga,G.micro,17,0.566666667
111,single_microalga,G.micro,12,0.4
112,single_microalga,G.micro,14,0.466666667
113,single_microalga,G.micro,18,0.6
114,single_microalga,G.micro,10,0.333333333
115,single_microalga,G.micro,15,0.5
116,single_microalga,G.micro,14,0.466666667
117,single_microalga,G.micro,21,0.7
118,single_microalga,G.micro,14,0.466666667
119,single_microalga,G.micro,10,0.333333333
120,single_microalga,G.micro,10,0.333333333
121,single_microalga,G.micro,11,0.366666667
122,single_microalga,G.micro,16,0.533333333
123,single_microalga,G.micro,9,0.3
124,single_microalga,G.micro,17,0.566666667
125,single_microalga,G.micro,17,0.566666667
126,single_microalga,G.micro,16,0.533333333
127,single_microalga,G.micro,18,0.6
128,single_microalga,G.micro,18,0.6
129,single_microalga,G.micro,20,0.666666667
130,single_microalga,G.micro,12,0.4
131,single_microalga,G.micro,14,0.466666667
132,single_microalga,G.micro,17,0.566666667
133,single_microalga,G.micro,11,0.366666667
134,single_microalga,G.micro,16,0.533333333
135,single_microalga,G.micro,16,0.533333333
136,single_microalga,G.micro,25,0.833333333
137,single_microalga,G.micro,13,0.433333333
138,single_microalga,G.micro,10,0.333333333
139,single_microalga,G.micro,10,0.333333333
140,single_microalga,G.micro,12,0.4
141,single_microalga,G.micro,11,0.366666667
142,single_microalga,G.micro,13,0.433333333
143,single_microalga,G.micro,18,0.6
144,single_microalga,G.micro,12,0.4
145,single_microalga,G.micro,10,0.333333333
146,single_microalga,G.micro,18,0.6
147,single_microalga,G.micro,13,0.433333333
148,single_microalga,G.micro,16,0.533333333
149,single_microalga,G.micro,14,0.466666667
150,single_microalga,G.micro,16,0.533333333
151,single_microalga,G.micro,13,0.433333333
152,single_microalga,G.micro,17,0.566666667
153,single_diatom,diatom,16,0.533333333
154,single_diatom,diatom,17,0.566666667
155,single_diatom,diatom,12,0.4
156,single_diatom,diatom,20,0.666666667
157,single_diatom,diatom,10,0.333333333
158,single_diatom,diatom,14,0.466666667
159,single_diatom,diatom,18,0.6
160,single_diatom,diatom,21,0.7
161,single_diatom,diatom,16,0.533333333
162,single_diatom,diatom,16,0.533333333
163,single_diatom,diatom,23,0.766666667
164,single_diatom,diatom,19,0.633333333
165,single_diatom,diatom,14,0.466666667
166,single_diatom,diatom,19,0.633333333
167,single_diatom,diatom,19,0.633333333
168,single_diatom,diatom,20,0.666666667
169,single_diatom,diatom,18,0.6
170,single_diatom,diatom,24,0.8
171,single_diatom,diatom,15,0.5
172,single_diatom,diatom,16,0.533333333
173,single_diatom,diatom,12,0.4
174,single_diatom,diatom,15,0.5
175,single_diatom,diatom,18,0.6
176,single_diatom,diatom,21,0.7
177,single_diatom,diatom,17,0.566666667
178,single_diatom,diatom,17,0.566666667
179,single_diatom,diatom,18,0.6
180,single_diatom,diatom,13,0.433333333
181,single_diatom,diatom,26,0.866666667
182,single_diatom,diatom,19,0.633333333
183,single_diatom,diatom,25,0.833333333
184,single_diatom,diatom,19,0.633333333
185,single_diatom,diatom,16,0.533333333
186,single_diatom,diatom,19,0.633333333
187,single_diatom,diatom,15,0.5
188,single_diatom,diatom,11,0.366666667
189,single_diatom,diatom,15,0.5
190,single_diatom,diatom,20,0.666666667
191,single_diatom,diatom,21,0.7
192,single_diatom,diatom,16,0.533333333
193,single_diatom,diatom,25,0.833333333
194,single_diatom,diatom,18,0.6
195,single_diatom,diatom,11,0.366666667
196,single_diatom,diatom,18,0.6
197,single_diatom,diatom,17,0.566666667
198,single_diatom,diatom,21,0.7
199,single_diatom,diatom,18,0.6
200,single_diatom,diatom,15,0.5
201,single_diatom,diatom,17,0.566666667
202,single_diatom,diatom,16,0.533333333
203,single_diatom,diatom,14,0.466666667
204,single_diatom,diatom,21,0.7
205,single_diatom,diatom,28,0.933333333
206,single_diatom,diatom,20,0.666666667
207,single_diatom,diatom,20,0.666666667
208,single_diatom,diatom,12,0.4
209,single_diatom,diatom,21,0.7
210,single_diatom,diatom,17,0.566666667
211,single_diatom,diatom,12,0.4
212,single_diatom,diatom,22,0.733333333
213,single_diatom,diatom,20,0.666666667
214,single_diatom,diatom,17,0.566666667
215,single_diatom,diatom,26,0.866666667
216,single_diatom,diatom,16,0.533333333
217,single_diatom,diatom,12,0.4
218,single_diatom,diatom,13,0.433333333
219,single_diatom,diatom,15,0.5
220,single_diatom,diatom,11,0.366666667
221,single_diatom,diatom,13,0.433333333
222,single_diatom,diatom,21,0.7
223,single_diatom,diatom,24,0.8
224,single_diatom,diatom,16,0.533333333
225,single_diatom,diatom,12,0.4
226,single_diatom,diatom,22,0.733333333
227,single_diatom,diatom,17,0.566666667
228,single_diatom,diatom,15,0.5
229,single_diatom,diatom,16,0.533333333
230,single_diatom,diatom,12,0.4
231,single_diatom,diatom,15,0.5
232,single_diatom,diatom,15,0.5
233,single_diatom,diatom,18,0.6
234,single_diatom,diatom,15,0.5
235,single_diatom,diatom,20,0.666666667
236,single_diatom,diatom,29,0.966666667
237,single_diatom,diatom,12,0.4
238,single_diatom,diatom,17,0.566666667
239,single_diatom,diatom,19,0.633333333
240,single_diatom,diatom,18,0.6
241,single_diatom,diatom,15,0.5
242,single_diatom,diatom,19,0.633333333
243,single_diatom,diatom,17,0.566666667
244,single_diatom,diatom,19,0.633333333
245,single_diatom,diatom,20,0.666666667
246,single_diatom,diatom,11,0.366666667
247,single_diatom,diatom,20,0.666666667
248,single_diatom,diatom,21,0.7
249,single_diatom,diatom,12,0.4
250,single_diatom,diatom,20,0.666666667
251,single_diatom,diatom,14,0.466666667
252,single_diatom,diatom,19,0.633333333
253,single_diatom,diatom,16,0.533333333
254,single_diatom,diatom,15,0.5
255,single_diatom,diatom,14,0.466666667
256,single_diatom,diatom,19,0.633333333
257,single_diatom,diatom,20,0.666666667
258,single_diatom,diatom,17,0.566666667
259,single_diatom,diatom,15,0.5
260,single_diatom,diatom,21,0.7
261,single_diatom,diatom,17,0.566666667
262,single_diatom,diatom,19,0.633333333
263,single_diatom,diatom,20,0.666666667
264,single_diatom,diatom,27,0.9
265,single_diatom,diatom,18,0.6
266,single_diatom,diatom,21,0.7
267,single_diatom,diatom,18,0.6
268,single_diatom,diatom,21,0.7
269,single_diatom,diatom,13,0.433333333
270,single_diatom,diatom,17,0.566666667
271,single_diatom,diatom,21,0.7
272,single_diatom,diatom,14,0.466666667
273,single_diatom,diatom,25,0.833333333
274,single_diatom,diatom,22,0.733333333
275,single_diatom,diatom,18,0.6
276,3mix_1diatom,Mix_3sp.,16,0.533333333
277,3mix_1diatom,Mix_3sp.,14,0.466666667
278,3mix_1diatom,Mix_3sp.,17,0.566666667
279,3mix_1diatom,Mix_3sp.,29,0.966666667
280,3mix_1diatom,Mix_3sp.,11,0.366666667
281,3mix_1diatom,Mix_3sp.,20,0.666666667
282,3mix_1diatom,Mix_3sp.,20,0.666666667
283,3mix_1diatom,Mix_3sp.,17,0.566666667
284,3mix_1diatom,Mix_3sp.,15,0.5
285,3mix_1diatom,Mix_3sp.,14,0.466666667
286,3mix_1diatom,Mix_3sp.,26,0.866666667
287,3mix_1diatom,Mix_3sp.,22,0.733333333
288,3mix_1diatom,Mix_3sp.,21,0.7
289,3mix_1diatom,Mix_3sp.,26,0.866666667
290,3mix_1diatom,Mix_3sp.,20,0.666666667
291,3mix_1diatom,Mix_3sp.,24,0.8
292,3mix_1diatom,Mix_3sp.,22,0.733333333
293,3mix_1diatom,Mix_3sp.,19,0.633333333
294,3mix_1diatom,Mix_3sp.,25,0.833333333
295,3mix_1diatom,Mix_3sp.,20,0.666666667
296,3mix_1diatom,Mix_3sp.,23,0.766666667
297,3mix_1diatom,Mix_3sp.,18,0.6
298,3mix_1diatom,Mix_3sp.,18,0.6
299,3mix_1diatom,Mix_3sp.,32,1.066666667
300,3mix_1diatom,Mix_3sp.,11,0.366666667
301,3mix_1diatom,Mix_3sp.,22,0.733333333
302,3mix_1diatom,Mix_3sp.,17,0.566666667
303,3mix_1diatom,Mix_3sp.,21,0.7
304,3mix_1diatom,Mix_3sp.,23,0.766666667
305,3mix_1diatom,Mix_3sp.,20,0.666666667
306,3mix_1diatom,Mix_3sp.,19,0.633333333
307,3mix_1diatom,Mix_3sp.,18,0.6
308,3mix_1diatom,Mix_3sp.,28,0.933333333
309,3mix_1diatom,Mix_3sp.,31,1.033333333
310,3mix_1diatom,Mix_3sp.,18,0.6
311,3mix_1diatom,Mix_3sp.,24,0.8
312,3mix_1diatom,Mix_3sp.,23,0.766666667
313,3mix_1diatom,Mix_3sp.,18,0.6
314,3mix_1diatom,Mix_3sp.,31,1.033333333
315,3mix_1diatom,Mix_3sp.,20,0.666666667
316,3mix_1diatom,Mix_3sp.,25,0.833333333
317,3mix_1diatom,Mix_3sp.,20,0.666666667
318,3mix_1diatom,Mix_3sp.,23,0.766666667
319,3mix_1diatom,Mix_3sp.,21,0.7
320,3mix_1diatom,Mix_3sp.,18,0.6
321,3mix_1diatom,Mix_3sp.,12,0.4
322,3mix_1diatom,Mix_3sp.,28,0.933333333
323,3mix_1diatom,Mix_3sp.,22,0.733333333
324,3mix_1diatom,Mix_3sp.,24,0.8
325,3mix_1diatom,Mix_3sp.,37,1.233333333
326,3mix_1diatom,Mix_3sp.,23,0.766666667
327,3mix_1diatom,Mix_3sp.,18,0.6
328,3mix_1diatom,Mix_3sp.,21,0.7
329,3mix_1diatom,Mix_3sp.,17,0.566666667
330,3mix_1diatom,Mix_3sp.,29,0.966666667
331,3mix_1diatom,Mix_3sp.,18,0.6
332,3mix_1diatom,Mix_3sp.,15,0.5
333,3mix_1diatom,Mix_3sp.,19,0.633333333
334,3mix_1diatom,Mix_3sp.,25,0.833333333
335,3mix_1diatom,Mix_3sp.,18,0.6
336,3mix_1diatom,Mix_3sp.,33,1.1
337,3mix_1diatom,Mix_3sp.,21,0.7
338,3mix_1diatom,Mix_3sp.,18,0.6
339,3mix_1diatom,Mix_3sp.,20,0.666666667
340,3mix_1diatom,Mix_3sp.,25,0.833333333
341,3mix_1diatom,Mix_3sp.,18,0.6
342,3mix_1diatom,Mix_3sp.,14,0.466666667
343,3mix_1diatom,Mix_3sp.,21,0.7
344,3mix_1diatom,Mix_3sp.,16,0.533333333
345,3mix_1diatom,Mix_3sp.,23,0.766666667
346,3mix_1diatom,Mix_3sp.,32,1.066666667
347,3mix_1diatom,Mix_3sp.,26,0.866666667
348,3mix_1diatom,Mix_3sp.,25,0.833333333
349,3mix_1diatom,Mix_3sp.,23,0.766666667
350,3mix_1diatom,Mix_3sp.,25,0.833333333
351,3mix_1diatom,Mix_3sp.,24,0.8
352,3mix_1diatom,Mix_3sp.,20,0.666666667
353,3mix_1diatom,Mix_3sp.,17,0.566666667
354,3mix_1diatom,Mix_3sp.,24,0.8
355,3mix_1diatom,Mix_3sp.,23,0.766666667
356,3mix_1diatom,Mix_3sp.,22,0.733333333
357,3mix_1diatom,Mix_3sp.,17,0.566666667
358,3mix_1diatom,Mix_3sp.,21,0.7
359,3mix_1diatom,Mix_3sp.,20,0.666666667
360,3mix_1diatom,Mix_3sp.,22,0.733333333
361,3mix_1diatom,Mix_3sp.,32,1.066666667
362,3mix_1diatom,Mix_3sp.,18,0.6
363,3mix_1diatom,Mix_3sp.,16,0.533333333
364,3mix_1diatom,Mix_3sp.,21,0.7
365,3mix_1diatom,Mix_3sp.,15,0.5
366,3mix_1diatom,Mix_3sp.,18,0.6
367,3mix_1diatom,Mix_3sp.,24,0.8
368,3mix_1diatom,Mix_3sp.,19,0.633333333
369,3mix_1diatom,Mix_3sp.,27,0.9
370,3mix_1diatom,Mix_3sp.,21,0.7
371,3mix_1diatom,Mix_3sp.,15,0.5
372,3mix_1diatom,Mix_3sp.,22,0.733333333
373,3mix_1diatom,Mix_3sp.,18,0.6
374,3mix_1diatom,Mix_3sp.,18,0.6
375,3mix_1diatom,Mix_3sp.,29,0.966666667
376,3mix_1diatom,Mix_3sp.,10,0.333333333
377,3mix_1diatom,Mix_3sp.,14,0.466666667
378,3mix_1diatom,Mix_3sp.,23,0.766666667
379,3mix_1diatom,Mix_3sp.,17,0.566666667
380,3mix_1diatom,Mix_3sp.,25,0.833333333
381,3mix_1diatom,Mix_3sp.,21,0.7
382,3mix_1diatom,Mix_3sp.,27,0.9
